ActConfigID,RefGroupID,EditionID,ProductDescription,ProductKeyType,EULAType
{a8be2409-e3b4-4bf1-a9ce-836d1fc05c60},3572,Core,Win 10 Pre-Release Core Retail Tencent,Retail,Retail
{903663f7-d2ab-49c9-8942-14aa9e0a9c72},3573,Core,Win 10 Pre-Release Core Volume:GVLK,Volume:GVLK,Volume
{b2646afb-f245-467b-9517-582504b034f8},3574,CoreCountrySpecific,Win 10 Pre-Release CoreCountrySpecific OEM:DM,OEM:DM,OEM
{46169c68-8fa2-44ee-96cb-242335aa62b0},3575,CoreCountrySpecific,Win 10 Pre-Release CoreCountrySpecific OEM:NONSLP,OEM:NONSLP,OEM
{c7a55d06-d7f2-45b1-a958-d852a2cc94d3},3576,CoreCountrySpecific,Win 10 Pre-Release CoreCountrySpecific Retail,Retail,Retail
{5fe40dd6-cf1f-4cf2-8729-92121ac2e997},3577,CoreCountrySpecific,Win 10 Pre-Release CoreCountrySpecific Volume:GVLK,Volume:GVLK,Volume
{37c6e24e-2669-41f2-867d-b6767a443e8d},3578,CoreN,Win 10 Pre-Release CoreN OEM:DM,OEM:DM,OEM
{77318260-37ff-4410-b28b-a149e4bb4684},3579,CoreN,Win 10 Pre-Release CoreN OEM:NONSLP,OEM:NONSLP,OEM
{f028b8c4-f54d-4ee0-97f1-48502f4af598},3580,CoreN,Win 10 Pre-Release CoreN Retail,Retail,Retail
{4dfd543d-caa6-4f69-a95f-5ddfe2b89567},3581,CoreN,Win 10 Pre-Release CoreN Volume:GVLK,Volume:GVLK,Volume
{caaaaf3a-6f46-4a83-9094-da92d38ee35d},3582,CoreSingleLanguage,Win 10 Pre-Release CoreSingleLanguage OEM:DM,OEM:DM,OEM
{537b020e-62f4-475f-86e4-f038356561c5},3583,CoreSingleLanguage,Win 10 Pre-Release CoreSingleLanguage OEM:NONSLP,OEM:NONSLP,OEM
{da64e00c-413b-407c-b1d4-b0fc6e97b98d},3584,CoreSingleLanguage,Win 10 Pre-Release CoreSingleLanguage Retail,Retail,Retail
{2cc171ef-db48-4adc-af09-7c574b37f139},3585,CoreSingleLanguage,Win 10 Pre-Release CoreSingleLanguage Volume:GVLK,Volume:GVLK,Volume
{8b3fc788-6c0b-4b3d-82dd-2b1e7923407d},3586,Education,Win 10 Pre-Release Education OEM:DM,OEM:DM,OEM
{c09363ee-4046-46c0-901e-0d01341dcd74},3587,Education,Win 10 Pre-Release Education OEM:NONSLP,OEM:NONSLP,OEM
{7435e630-1e22-4a6d-b5e0-6959c45bb3a7},3588,Education,Win 10 Pre-Release Education Retail,Retail,Retail
{af43f7f0-3b1e-4266-a123-1fdb53f4323b},3589,Education,Win 10 Pre-Release Education Volume:GVLK,Volume:GVLK,Volume
{ee8f3776-2116-4906-b822-520d1b94ec07},3590,Education,Win 10 Pre-Release Education Volume:MAK,Volume:MAK,Volume
{664ff3e7-2eb8-411b-a613-a06a5f619023},3591,EducationN,Win 10 Pre-Release EducationN OEM:DM,OEM:DM,OEM
{d7b97bfb-419c-4242-9f09-2644de4c6b27},3592,EducationN,Win 10 Pre-Release EducationN OEM:NONSLP,OEM:NONSLP,OEM
{fc69cf0f-7d52-4652-abb8-2224fdfea2c4},3593,EducationN,Win 10 Pre-Release EducationN Retail,Retail,Retail
{075aca1f-05d7-42e5-a3ce-e349e7be7078},3594,EducationN,Win 10 Pre-Release EducationN Volume:GVLK,Volume:GVLK,Volume
{418f2cbe-3b02-407d-b123-a43d8adf488c},3595,EducationN,Win 10 Pre-Release EducationN Volume:MAK,Volume:MAK,Volume
{c256d07a-9920-4023-abd0-e13d28b632a6},3596,Enterprise,Win 10 Pre-Release Enterprise OEM:DM,OEM:DM,OEM
{aac18c3a-3547-4e40-8ee5-27828e7d55cd},3597,Enterprise,Win 10 Pre-Release Enterprise OEM:NONSLP,OEM:NONSLP,OEM
{43f2ab05-7c87-4d56-b27c-44d0f9a3dabd},3598,Enterprise,Win 10 Pre-Release Enterprise Volume:GVLK,Volume:GVLK,Volume
{904d2bb0-fa5e-4eec-b8b9-49cc37bdfa64},3599,Enterprise,Win 10 Pre-Release Enterprise Retail,Retail,Retail
{19f9657f-3a93-44b7-8695-fb3670a913ea},3600,Enterprise,Win 10 Pre-Release Enterprise Volume:MAK,Volume:MAK,Volume
{46fd674f-ca94-4597-b5a1-e9f76dbc763e},3601,EnterpriseEval,Win 10 Pre-Release EnterpriseEval Retail:TB:Eval,Retail:TB:Eval,EVAL
{7233e813-05e1-4353-9b77-c8b41f31895a},3602,EnterpriseS,Win 10 Pre-Release EnterpriseS Retail,Retail,Retail
{681dca0c-c515-446b-a565-ef32efdeb3a1},3603,EnterpriseS,Win 10 Pre-Release EnterpriseS OEM:DM,OEM:DM,OEM
{f0a14f5e-9dcb-495c-9b75-9d622a20bf6e},3604,EnterpriseS,Win 10 Pre-Release EnterpriseS OEM:NONSLP,OEM:NONSLP,OEM
{2cf5af84-abab-4ff0-83f8-f040fb2576eb},3605,EnterpriseS,Win 10 Pre-Release EnterpriseS Volume:GVLK,Volume:GVLK,Volume
{bc78bd80-eea5-46ca-8d94-d16f630b509f},3606,EnterpriseS,Win 10 Pre-Release EnterpriseS Volume:MAK,Volume:MAK,Volume
{04a0dd50-94b1-408e-8e35-6b3605924f2f},3607,EnterpriseSEval,Win 10 Pre-Release EnterpriseSEval Retail:TB:Eval,Retail:TB:Eval,EVAL
{162d36f0-b82d-4feb-9f07-8d812b3ec8ee},3608,EnterpriseSNEval,Win 10 Pre-Release EnterpriseSNEval Retail:TB:Eval,Retail:TB:Eval,EVAL
{6ae51eeb-c268-4a21-9aae-df74c38b586d},3609,EnterpriseN,Win 10 Pre-Release EnterpriseN Volume:GVLK,Volume:GVLK,Volume
{288850e5-f87a-4f40-a866-1a0f9af8ee46},3610,EnterpriseN,Win 10 Pre-Release EnterpriseN Retail,Retail,Retail
{24d6bdff-ee06-4dbc-86b8-60c9c725f410},3611,EnterpriseN,Win 10 Pre-Release EnterpriseN Volume:MAK,Volume:MAK,Volume
{1abd7741-ee05-490f-8fb2-937eed8bd2a4},3612,EnterpriseNEval,Win 10 Pre-Release EnterpriseNEval Retail:TB:Eval,Retail:TB:Eval,EVAL
{11a37f09-fb7f-4002-bd84-f3ae71d11e90},3613,EnterpriseSN,Win 10 Pre-Release EnterpriseSN Volume:GVLK,Volume:GVLK,Volume
{57f7c09e-84fa-4632-b3e9-f391eafa697e},3614,EnterpriseSN,Win 10 Pre-Release EnterpriseSN OEM:DM,OEM:DM,OEM
{904e7989-5fe4-4a12-b40c-a4a44a00af9e},3615,EnterpriseSN,Win 10 Pre-Release EnterpriseSN OEM:NONSLP,OEM:NONSLP,OEM
{cafa30cc-de00-4a28-87f2-cc7af17b6cb8},3616,EnterpriseSN,Win 10 Pre-Release EnterpriseSN Volume:MAK,Volume:MAK,Volume
{5b2add49-b8f4-42e0-a77c-adad4efeeeb1},3617,PPIPro,Win 10 Pre-Release PPIPro Volume:GVLK,Volume:GVLK,Volume
{6e411c0d-ce3d-4e53-8ff8-1779c91b8f3d},3618,PPIPro,Win 10 Pre-Release PPIPro OEM:NONSLP,OEM:NONSLP,OEM
{be217e5a-ff5f-475b-907b-87ba366d9d7b},3619,Professional,Win 10 Pre-Release Professional OEM:DM,OEM:DM,OEM
{f50d9f08-f6ac-4deb-8901-b622be45c219},3620,Professional,Win 10 Pre-Release Professional OEM:NONSLP,OEM:NONSLP,OEM
{4029f3ed-9005-4f26-80af-ac5edf36d672},3621,Professional,Win 10 Pre-Release Professional Retail,Retail,Retail
{54240757-b78e-4832-abe1-48bcabba3e7e},3622,Professional,Win 10 Pre-Release Professional Retail Qihoo,Retail,Retail
{890e6fc5-409d-46af-8b01-aaf7ce5feb9f},3623,Professional,Win 10 Pre-Release Professional Retail Tencent,Retail,Retail
{ff808201-fec6-4fd4-ae16-abbddade5706},3624,Professional,Win 10 Pre-Release Professional Volume:GVLK,Volume:GVLK,Volume
{39392b1e-b8a3-489f-a644-7d0bfd0dffa3},3625,Professional,Win 10 Pre-Release Professional Volume:MAK,Volume:MAK,Volume
{f7f0e311-9b71-4642-bb39-7fbafea39af2},3626,ProfessionalN,Win 10 Pre-Release ProfessionalN OEM:DM,OEM:DM,OEM
{2916b691-f0af-458e-b6c2-e9c3d243a1e0},3627,ProfessionalN,Win 10 Pre-Release ProfessionalN OEM:NONSLP,OEM:NONSLP,OEM
{b275ed94-692e-4188-bc03-b32e2b103a9e},3628,ProfessionalN,Win 10 Pre-Release ProfessionalN Retail,Retail,Retail
{34260150-69ac-49a3-8a0d-4a403ab55763},3629,ProfessionalN,Win 10 Pre-Release ProfessionalN Volume:GVLK,Volume:GVLK,Volume
{67ae1663-ff9d-43f6-af4a-21ad402e2eca},3630,ProfessionalN,Win 10 Pre-Release ProfessionalN Volume:MAK,Volume:MAK,Volume
{46fc26ea-6671-4d0f-955b-7d984f0bcdad},3631,MobileCore,Win 10 Pre-Release MobileCore Retail,Retail,Retail
{ba782239-2781-43bd-b6ce-9fbeb5cec154},3632,MobileEnterprise,Win 10 Pre-Release MobileEnterprise Volume:MAK,Volume:MAK,Volume
